lr_2,n_epochs_2,max_loss_2,min_loss_2,ind_null,instab,diff,time_taken,final_lr,experiment,undov
5e-05,5000,15,-15,114,6.83627060174942,2.295260270394777,NA,1,5b,under
1e-05,5000,15,-15,250,8.505967638492585,1.8022311980724337,NA,0,5c,under
5e-05,5000,15,-15,114,6.83627060174942,2.295260270394777,NA,1,5c,under
1e-05,5000,15,-15,250,8.727852125167846,1.6545550289154054,NA,0,6a,under
5e-05,5000,15,-15,85,5.6643650078773495,1.13921061445685,NA,1,6a,under
1e-05,5000,15,-15,250,8.728006627559662,1.6542759127616882,NA,0,6b,under
5e-05,5000,15,-15,85,5.66479383468628,1.138922390797559,NA,1,6b,under
1e-05,5000,15,-15,250,8.728006627559662,1.6542759127616882,NA,0,6c,under
5e-05,5000,15,-15,85,5.66479383468628,1.138922390797559,NA,1,6c,under
1e-05,5000,15,-15,250,7.536616270542145,1.3725946426391602,NA,0,7a,under
5e-05,5000,15,-15,114,6.381477224826813,1.87096987498434,NA,1,7a,under
1e-05,5000,15,-15,250,7.53677077293396,1.3723216841220855,NA,0,7b,under
5e-05,5000,15,-15,114,6.382106006145477,1.870395045531424,NA,1,7b,under
1e-05,5000,15,-15,250,7.53677077293396,1.3723216841220855,NA,0,7c,under
5e-05,5000,15,-15,114,6.382106006145477,1.870395045531424,NA,1,7c,under
1e-05,5000,15,-15,250,9.396169409751892,1.9396397461891173,NA,0,8a,under
5e-05,5000,15,-15,101,7.387775769233704,1.824472821301753,NA,1,8a,under
1e-05,5000,15,-15,250,9.39614315032959,1.9391973493099213,NA,0,8b,under
5e-05,5000,15,-15,101,7.3881902384758,1.8239033910543607,NA,1,8b,under
1e-05,5000,15,-15,250,9.39614315032959,1.9391973493099213,NA,0,8c,under
5e-05,5000,15,-15,101,7.3881902384758,1.8239033910543607,NA,1,8c,under
1e-05,5000,15,-15,250,7.273253436088562,1.3558964874744417,NA,0,9a,under
5e-05,5000,15,-15,114,6.095235872268677,1.86328493427812,NA,1,9a,under
1e-05,5000,15,-15,250,7.273267117738723,1.3557417879104616,NA,0,9b,under
5e-05,5000,15,-15,114,6.094787604808808,1.8660816419333743,NA,1,9b,under
1e-05,5000,15,-15,250,7.273267117738723,1.3557417879104616,NA,0,9c,under
5e-05,5000,15,-15,114,6.094787604808808,1.8660816419333743,NA,1,9c,under
1e-05,5000,15,-15,250,4.598362528085708,0.2663039751052857,NA,1,1a,over
5e-05,5000,15,-15,250,5.05445760011673,1.2903615324497224,NA,0,1a,over
1e-05,5000,15,-15,250,4.598362528085708,0.2663039751052857,NA,1,1b,over
5e-05,5000,15,-15,250,5.05445760011673,1.2903615324497224,NA,0,1b,over
1e-05,5000,15,-15,250,4.598593144416809,0.26606870794296256,NA,1,1c,over
5e-05,5000,15,-15,250,5.056741927862167,1.288266356945038,NA,0,1c,over
1e-05,5000,15,-15,250,4.447177015542984,0.28025015926361085,NA,1,2a,over
5e-05,5000,15,-15,250,4.917208392620086,1.227492086172104,NA,0,2a,over
1e-05,5000,15,-15,250,4.447177015542984,0.28025015926361085,NA,1,2b,over
5e-05,5000,15,-15,250,4.917208392620086,1.227492086172104,NA,0,2b,over
1e-05,5000,15,-15,250,4.447301325798034,0.2802544059753418,NA,1,2c,over
5e-05,5000,15,-15,250,4.918036072254181,1.2266608835458754,NA,0,2c,over
1e-05,5000,15,-15,250,4.440912945270538,0.3056472578048707,NA,1,3a,over
5e-05,5000,15,-15,250,4.95338531255722,1.2630966212749482,NA,0,3a,over
1e-05,5000,15,-15,250,4.440912945270538,0.3056472578048707,NA,1,3b,over
5e-05,5000,15,-15,250,4.95338531255722,1.2630966212749482,NA,0,3b,over
1e-05,5000,15,-15,250,4.443018735647201,0.3052479872703553,NA,1,3c,over
5e-05,5000,15,-15,250,4.954604331254959,1.261109039545059,NA,0,3c,over
1e-05,5000,15,-15,250,4.350311152935028,0.12492427587509149,NA,1,4a,over
5e-05,5000,15,-15,250,5.109262835979462,1.2723377335071564,NA,0,4a,over
1e-05,5000,15,-15,250,4.350311152935028,0.12492427587509149,NA,1,4b,over
5e-05,5000,15,-15,250,5.109262835979462,1.2723377335071564,NA,0,4b,over
1e-05,5000,15,-15,250,4.3504317510128026,0.12470050573349,NA,1,4c,over
5e-05,5000,15,-15,250,5.109912127256393,1.2714754498004912,NA,0,4c,over
1e-05,5000,15,-15,250,4.238819566965103,0.34015831375122074,NA,1,5a,over
5e-05,5000,15,-15,250,4.90657998085022,1.4719373650550842,NA,0,5a,over
1e-05,5000,15,-15,250,4.238819566965103,0.34015831375122074,NA,1,5b,over
5e-05,5000,15,-15,250,4.90657998085022,1.4719373650550842,NA,0,5b,over
1e-05,5000,15,-15,250,4.23881516456604,0.34005492854118347,NA,1,5c,over
5e-05,5000,15,-15,250,4.907149606943131,1.4697517282962798,NA,0,5c,over
1e-05,5000,15,-15,250,4.393896064758301,0.32120266675949094,NA,1,6a,over
5e-05,5000,15,-15,250,4.972519006729126,1.4855902063846589,NA,0,6a,over
1e-05,5000,15,-15,250,4.393896064758301,0.32120266675949094,NA,1,6b,over
5e-05,5000,15,-15,250,4.972519006729126,1.4855902063846589,NA,0,6b,over
1e-05,5000,15,-15,250,4.33198855638504,0.32686768555641177,NA,1,6c,over
5e-05,5000,15,-15,250,4.973334441184997,1.4850599989891051,NA,0,6c,over
1e-05,5000,15,-15,250,4.296923850774765,0.43265185213089,NA,1,7a,over
5e-05,5000,15,-15,250,4.957701587677002,1.937474655866623,NA,0,7a,over
1e-05,5000,15,-15,250,4.296923850774765,0.43265185213089,NA,1,7b,over
5e-05,5000,15,-15,250,4.957701587677002,1.937474655866623,NA,0,7b,over
