lr_1,max_epochs_1,final_loss,max_loss,time_taken,epoch_final,final_select,experiment,undov
1e-04,500,0.7150430679321289,3,2,0,0,5a,over
5e-04,500,0.5631070137023926,3,2,0,1,5b,over
1e-04,500,0.7150430679321289,3,2,0,0,5b,over
5e-04,500,0.5631613731384277,3,2,0,1,5c,over
1e-04,500,0.715054988861084,3,2,0,0,5c,over
5e-04,500,1.2536603212356567,3,2,0,1,6a,over
1e-04,500,1.37434720993042,3,2,0,0,6a,over
5e-04,500,1.2536603212356567,3,2,0,1,6b,over
1e-04,500,1.37434720993042,3,2,0,0,6b,over
5e-04,500,1.253737211227417,3,2,0,1,6c,over
1e-04,500,1.3743633031845093,3,2,0,0,6c,over
5e-04,500,0.6741584539413452,3,2,0,1,7a,over
1e-04,500,0.7893515825271606,3,2,0,0,7a,over
5e-04,500,0.6741584539413452,3,2,0,1,7b,over
1e-04,500,0.7893515825271606,3,2,0,0,7b,over
5e-04,500,0.67426300048828125,3,2,0,1,7c,over
1e-04,500,0.7893781661987305,3,2,0,0,7c,over
5e-04,500,0.8355249166488647,3,2,0,1,8a,over
1e-04,500,0.9794070720672609,3,2,0,0,8a,over
5e-04,500,0.8355249166488647,3,2,0,1,8b,over
1e-04,500,0.9794070720672609,3,2,0,0,8b,over
5e-04,500,0.8355062007904053,3,2,0,1,8c,over
1e-04,500,0.9794036149978638,3,2,0,0,8c,over
5e-04,500,1.3966479301452637,3,2,0,1,9a,over
1e-04,500,1.5195176601409912,3,2,0,0,9a,over
5e-04,500,1.3966479301452637,3,2,0,1,9b,over
1e-04,500,1.5195176601409912,3,2,0,0,9b,over
5e-04,500,1.3967806100845337,3,2,0,1,9c,over
1e-04,500,1.5195454359054563,3,2,0,0,9c,over
