ptprf,ctnna1,znf207,psmd4,dctn2,acta2,atp6v1f,gnpat,vwf,plod3,polr2g,gmfb,nol7,fam20b,ap3b1,hsph1,tfrc,parp1,dap3,thy1,kpnb1,lsm2,hgs,creb3l2,cap2,sae1,c8orf33,parp12,ptcd1,lage3,slc41a3,chst4,plvap
6.814,6.112,6.231,8.696,7.9,8.936,7.717,8.08,5.14,7.255,6.491,3.925,7.912,5.849,4.379,6.945,7.884,5.538,6.809,4.393,8.204,4.906,6.965,7.798,4.378,5.503,5.016,6.103,5.185,5.718,5.053,4.959,4.381
6.072,6.961,7.419,8.217,7.944,8.801,7.644,8.176,5.556,7.152,7.121,4.51,8.083,5.47,4.167,6.909,7.763,6.038,7.43,3.779,8.456,5.008,7.061,7.205,3.786,6.725,5.31,6.72,4.947,5.023,5.024,5.797,4.243
6.877,7.633,7.464,9.399,9.087,7.92,8.103,9.914,3.756,9.144,8.045,6.168,8.597,5.523,3.61,8.805,9.831,7.766,8.541,3.676,7.872,5.305,7.544,7.907,6.11,8.397,7.072,7.15,5.975,6.927,5.209,4.16,5.715
5.779,7.345,7.68,9.611,8.486,10.798,8.76,9.149,7.697,7.848,7.945,5.62,9.561,6.132,4.522,8.282,9.802,7.652,8.817,6.715,8.74,6.765,7.977,7.294,6.725,8.829,5.731,6.885,5.736,6.747,5.491,3.951,7.209
7.687,6.074,5.917,8.604,7.891,8.337,7.21,7.861,4.685,7.27,6.237,3.882,8.355,5.483,4.845,6.862,7.44,5.57,7.286,4.444,9.205,4.766,7.106,6.802,4.424,5.763,5.294,6.101,5.247,6.091,5.467,4.894,4.215
6.492,6.545,7.376,8.159,7.578,8.845,7.635,8.145,4.06,7.359,7.239,4.368,8.107,5.585,3.79,7.23,7.519,5.855,7.614,3.996,8.068,5.195,6.817,6.909,4.221,6.33,5.072,5.967,5.488,5.602,5.453,4.866,4.526
7.053,7.464,8.266,9.788,8.606,7.111,8.534,10.059,5.239,8.089,8.206,7.148,9.838,6.824,4.417,7.17,9.756,8.073,9.181,4.155,9.067,5.65,8.06,8.116,6.251,7.894,6.314,6.563,5.557,6.836,6.17,4.082,5.392
6.545,6.892,6.645,9.21,8.365,9.593,7.734,9.324,6.091,7.05,7.415,5.693,8.719,5.266,4.076,8.204,7.584,7.194,8.901,4.894,8.398,5.283,7.366,6.975,5.73,7.314,5.516,6.122,5.285,6.396,5.063,4.244,5.462
6.818,7.553,7.775,9.652,8.403,9.521,8.487,9.364,4.918,8.427,7.531,6.455,8.833,6.543,4.532,8.597,8.895,7.262,8.812,5.565,8.718,5.186,7.203,8.139,7.235,7.857,7.06,7.453,5.852,6.152,5.563,4.924,5.77
6.75,6.698,7.459,8.128,7.799,8.741,7.925,8.12,4.901,7.329,6.636,4.924,8.151,5.489,4.085,7.986,7.627,6.062,7.714,4.077,8.119,4.837,6.676,6.692,4.36,5.853,4.955,6.547,5.047,5.585,5.098,5.801,4.16
