label,acta2,ap3b1,atp6v1f,c8orf33,cap2,chst4,creb3l2,ctnna1,dap3,dctn2,fam20b,gmfb,gnpat,hgs,hsph1,kpnb1,lage3,lsm2,nol7,parp1,parp12,plod3,plvap,polr2g,psmd4,ptcd1,ptprf,sae1,slc41a3,tfrc,thy1,vwf,znf207
case,10.01588209,8.562188308,10.2179979,8.529546346,8.687513035,6.511824039,8.870332943,10.57916046,8.535930081,10.0417211,8.489592939,9.589974266,7.856775779,10.42055551,7.487041717,10.21691633,7.445602099,10.48859862,9.647590454,10.16547225,9.904750237,10.81330966,8.444714991,10.09109548,6.920661492,9.488287271,10.90258434,9.749455849,7.441270197,9.764821181,8.256967397,10.52939494,9.492020835
case,9.552358041,9.106287929,11.65057582,9.938169552,8.57443035,8.837976999,8.582708258,10.99514422,10.3339897,10.41811919,9.881976162,9.503273247,8.819342433,10.47655396,9.433908015,9.670649368,8.503020746,9.836425566,9.302302423,10.73732085,10.11748407,10.96503024,7.732901934,10.831121,7.41189041,10.48505213,10.62656201,10.21691633,9.455913537,11.01630942,8.806255409,10.2851922,9.9884189
case,11.8608137,9.825512282,10.76429703,9.468944623,9.236867769,9.18978483,9.929702277,10.21691633,10.25362586,9.970345062,9.382411715,9.215114367,9.425821713,8.995576944,10.32452063,9.87142615,10.95698762,10.2514909,10.19293631,10.39709071,8.256310402,10.10460734,7.51351383,10.69209142,6.689211071,8.420981966,10.12145684,11.88563896,8.639844857,9.5760814,8.698364906,7.948074862,9.455913537
case,10.36897307,10.15335687,10.56301466,9.827177251,10.36238293,6.628080004,8.888752046,11.2524592,10.18672538,9.933155977,9.872276648,10.20467131,9.609391984,9.807873017,8.934372198,9.561658097,9.678683113,10.79163821,9.466057671,11.08532643,9.484143397,10.63702303,7.765408403,10.48623362,6.215726118,9.090249155,9.268323467,10.37769002,9.265178196,10.25043392,9.367271953,9.677094474,9.696602707
case,9.468944623,9.520425522,10.67041142,8.517645166,8.866431371,6.550825961,10.11836743,11.12840218,9.791341833,9.834734897,8.787147756,10.0989803,8.853037601,10.14025086,7.63670779,9.892583881,8.90417252,11.05307238,9.906530955,10.6774656,9.894219083,8.993592368,8.472007364,10.36238293,6.581880505,8.575622219,10.90720887,11.36515132,9.091936681,10.95698762,8.291410629,9.508387867,9.40326451
case,11.17836915,10.16653634,10.88012728,9.500589194,10.41124746,7.074853004,9.438539932,10.52441929,10.03326135,10.55045432,8.555187384,10.00213604,8.556393344,9.132610989,9.471483253,9.948237075,9.877465951,10.38933881,10.59795131,10.00490975,9.721314833,10.32921039,7.993638689,10.3667271,6.273646443,8.561303963,10.49963156,11.73981734,9.048166128,11.55705392,9.356962364,10.88560651,9.774072473
case,10.936306,10.51466692,10.28729169,8.889226591,8.819776533,9.004348803,9.115248015,11.07687091,10.46324368,10.1086343,9.008486029,9.133173015,9.819792673,9.639003151,9.738876089,10.61117032,10.00595004,10.26566936,10.8265029,10.9933409,8.21366321,9.229118751,7.948613635,10.06107724,6.570648069,7.900870516,11.71478698,10.91180184,8.53748623,10.76138953,8.292132921,9.218079382,9.857749609
case,10.95864557,9.882801443,10.54316728,8.481669052,8.876171002,6.776272089,10.30669014,10.26452321,10.53300699,9.648324342,9.475793256,9.042741492,9.835540896,9.15826924,8.457476236,10.10957392,9.171965237,10.44412925,10.58295929,10.75119344,7.970708297,9.30668638,7.663162044,10.32224097,6.619556276,8.476201948,10.48142686,10.75684439,9.262882809,10.39385152,8.139433455,8.755770028,9.105191304
case,10.10561576,9.341316438,10.5854947,8.72573061,9.553741514,6.412021053,9.062873681,10.00013933,9.376490077,9.896732811,8.951217994,9.461188343,8.274558991,9.86360847,9.320503389,9.927088115,9.87142615,10.92585578,11.13554929,10.35747928,8.539824557,9.498544707,6.942993375,10.51935572,6.641297851,8.814930833,10.97137041,10.63837049,8.793747824,10.60441306,7.116491274,9.811281375,9.231544641
case,10.56945911,9.441857787,10.3234228,8.148345695,7.574300311,6.501553129,10.27651461,10.595287,9.402003502,9.431992443,9.562349663,9.479336484,8.428777627,9.288096339,8.45591527,9.802066842,8.708977189,9.603282915,9.954739947,9.550115065,8.181265592,10.54190716,8.306340062,9.651271027,6.618066391,8.778294051,10.98842043,10.70937,8.919072133,9.948237075,8.062854792,12.00855023,8.518758377
