lr_2,n_epochs_2,max_loss_2,min_loss_2,ind_null,instab,diff,time_taken,final_lr,experiment,undov
1e-05,5000,15,-15,275,1.537587833404541,0.002464642958207364,28,1,7b,under
5e-05,5000,15,-15,275,1.5449912643432615,0.014764842987061044,28,0,7b,under
1e-05,5000,15,-15,275,1.537587833404541,0.002464642958207364,28,1,7c,under
5e-05,5000,15,-15,275,1.5449912643432615,0.014764842987061044,28,0,7c,under
1e-05,5000,15,-15,275,1.5397725677490235,-0.007219033674759956,29,1,8a,under
5e-05,5000,15,-15,275,1.5447383308410645,5.554927479138883e-4,29,0,8a,under
1e-05,5000,15,-15,275,1.538761978149414,-0.007697023911909184,29,1,8b,under
5e-05,5000,15,-15,275,1.5442004776000977,3.23805375533226e-4,28,0,8b,under
1e-05,5000,15,-15,275,1.538761978149414,-0.007697023911909184,29,1,8c,under
5e-05,5000,15,-15,275,1.5442004776000977,3.23805375533226e-4,29,0,8c,under
1e-05,5000,15,-15,275,1.5068022155761718,0.014046530290084291,29,1,9a,under
5e-05,5000,15,-15,275,1.5269212532043457,0.0303528751026505,29,0,9a,under
1e-05,5000,15,-15,275,1.5063412284851074,0.014354085055263257,30,1,9b,under
5e-05,5000,15,-15,275,1.5271395111083983,0.030596925562077715,30,0,9b,under
1e-05,5000,15,-15,275,1.5063412284851074,0.014354085055263257,30,1,9c,under
5e-05,5000,15,-15,275,1.5271395111083983,0.030596925562077715,29,0,9c,under
1e-05,5000,15,-15,275,1.0526032257080078,0.0045527354153716,129,1,1a,over
5e-05,5000,15,-15,275,1.0611540412902831,0.02806757146661809,128,0,1a,over
1e-05,5000,15,-15,275,1.0526032257080078,0.0045527354153716,128,1,1b,over
5e-05,5000,15,-15,275,1.0611540412902831,0.02806757146661809,129,0,1b,over
1e-05,5000,15,-15,275,1.0523313331604005,0.00438717408613698,128,0,1c,over
5e-05,5000,15,-15,275,1.0597672843933106,0.027890018116343285,136,1,1c,over
1e-05,5000,15,-15,275,1.0350837707519531,-0.02372032165527393,138,0,2a,over
5e-05,5000,15,-15,275,1.0352163887023926,-0.01957647497003734,140,1,2a,over
1e-05,5000,15,-15,275,1.0350837707519531,-0.02372032165527393,138,0,2b,over
5e-05,5000,15,-15,275,1.0352163887023926,-0.01957647497003734,138,1,2b,over
1e-05,5000,15,-15,275,1.0349411964416504,-0.02402024355801657,138,1,2c,over
5e-05,5000,15,-15,275,1.0366688919067384,-0.019868472706187745,138,0,2c,over
1e-05,5000,15,-15,275,1.0142672729492188,0.01821706945245793,145,0,3a,over
5e-05,5000,15,-15,275,1.0173820686340331,0.03283308029174847,145,1,3a,over
1e-05,5000,15,-15,275,1.0142672729492188,0.01821706945245793,145,0,3b,over
5e-05,5000,15,-15,275,1.0173820686340331,0.03283308029174847,145,1,3b,over
1e-05,5000,15,-15,275,1.0151365089416504,0.01856990294023042,146,0,3c,over
5e-05,5000,15,-15,275,1.0180135345458985,0.03251146836714192,146,1,3c,over
1e-05,5000,15,-15,275,1.018512592315674,-0.0029110544378099235,121,0,4a,over
5e-05,5000,15,-15,275,1.020440559387207,0.008672993399880369,115,1,4a,over
1e-05,5000,15,-15,275,1.018512592315674,-0.0029110544378099235,118,0,4b,over
5e-05,5000,15,-15,275,1.020440559387207,0.008672993399880369,119,1,4b,over
1e-05,5000,15,-15,275,1.0205409049987793,-0.0031988213279028344,119,0,4c,over
5e-05,5000,15,-15,275,1.0210580253601074,0.008223708759654613,119,1,4c,over
1e-05,5000,15,-15,275,1.0110006713867188,-0.0185566711425782,142,1,5a,over
5e-05,5000,15,-15,275,1.0133626937866211,-0.01445964119651144,146,0,5a,over
1e-05,5000,15,-15,275,1.1638780403137208,-0.03115620873191105,34,0,5b,over
5e-05,5000,15,-15,275,1.1627448081970215,-0.02502871600064438,33,1,5b,over
1e-05,5000,15,-15,275,1.1645525741577147,-0.03121719533746869,33,0,5c,over
5e-05,5000,15,-15,275,1.162602481842041,-0.024967108639803115,33,1,5c,over
1e-05,5000,15,-15,275,1.1708656692504882,-0.04988467129794039,34,0,6a,over
5e-05,5000,15,-15,275,1.1748283004760742,-0.03321903575550422,34,1,6a,over
1e-05,5000,15,-15,275,1.1708656692504882,-0.04988467129794039,34,0,6b,over
5e-05,5000,15,-15,275,1.1748283004760742,-0.03321903575550422,34,1,6b,over
1e-05,5000,15,-15,275,1.171790885925293,-0.04974241083318631,34,0,6c,over
5e-05,5000,15,-15,275,1.176566104888916,-0.03358517386696569,34,1,6c,over
1e-05,5000,15,-15,275,1.161410427093506,-0.041384483684193896,30,1,7a,over
5e-05,5000,15,-15,275,1.168412494659424,-0.03206941604614322,30,0,7a,over
1e-05,5000,15,-15,275,1.161410427093506,-0.041384483684193896,30,1,7b,over
5e-05,5000,15,-15,275,1.168412494659424,-0.03206941604614322,30,0,7b,over
1e-05,5000,15,-15,275,1.1632273483276367,-0.04166204105723992,30,1,7c,over
5e-05,5000,15,-15,275,1.1678622055053711,-0.03262744036587861,30,0,7c,over
1e-05,5000,15,-15,275,1.1106747817993163,-0.020731587843462407,32,0,8a,over
5e-05,5000,15,-15,275,1.1141285514831545,-0.006668711575594344,31,1,8a,over
1e-05,5000,15,-15,275,1.1106747817993163,-0.020731587843462407,31,0,8b,over
5e-05,5000,15,-15,275,1.1141285514831545,-0.006668711575594344,32,1,8b,over
1e-05,5000,15,-15,275,1.1107441329956054,-0.020828730843282628,32,1,8c,over
5e-05,5000,15,-15,275,1.1154636573791503,-0.007069471532648919,34,0,8c,over
1e-05,5000,15,-15,275,1.1053813362121585,-0.05499986648559485,34,0,9a,over
5e-05,5000,15,-15,275,1.1092117881774903,-0.0420449083501655,35,1,9a,over
1e-05,5000,15,-15,275,1.1053813362121585,-0.05499986648559485,33,0,9b,over
5e-05,5000,15,-15,275,1.1092117881774903,-0.0420449083501655,33,1,9b,over
1e-05,5000,15,-15,275,1.104323844909668,-0.05475783781571764,35,0,9c,over
5e-05,5000,15,-15,275,1.1084009742736816,-0.042440908605403393,35,1,9c,over
