,logFC,AveExpr,t,P.Value,adj.P.Val,B
KMO,-1.52986541146876,8.18346461991667,-22.6711584648581,9.83895851958183e-76,1.54323390478373e-74,161.840146323986
DAP3,1.12652794862812,9.3045370651875,22.6660990828388,1.03716867508968e-75,1.61939745406048e-74,161.787515408981
DARS2,1.01830672699062,7.29441486009028,22.6262117679514,1.57183336909061e-75,2.43209352379561e-74,161.372547551464
AURKA,1.52654796551198,7.3514278643044,22.5778945802103,2.60111061244055e-75,4.00664347701045e-74,160.869798454071
MT1E,-1.71247956235782,9.03829651545833,-22.5741179416691,2.70557072206934e-75,4.14894438853043e-74,160.83049816107
BCL2L12,1.11048948532396,7.6753830020463,22.4887884348932,6.58688607220549e-75,9.83737115566342e-74,159.942406787283
PRICKLE4,1.12468952053542,9.95631967968981,22.4882104960776,6.62670731333287e-75,9.85399983605992e-74,159.936390828223
GNPAT,1.14475440491875,8.37444366440972,22.4743901691224,7.65411985769892e-75,1.12358554321349e-73,159.792526883966
CDHR2,-1.49181474653854,7.60921642283102,-22.4523758415743,9.62969661422216e-75,1.40757480297247e-73,159.563352870585
KBTBD11,-1.70818384966562,7.29228141602778,-22.4481526789147,1.00633584213973e-74,1.46473034650423e-73,159.519386878938
RBM42,1.04074070864479,8.78920189021065,22.4097225040361,1.50258422560796e-74,2.14165013069018e-73,159.119274362208
FOS,-2.53985541890625,9.10285470983333,-22.2228449377667,1.0561819455139e-73,1.43967658049216e-72,157.172918475587
MT1X,-3.20071152346562,11.5626491185486,-22.1595325122834,2.04536529817199e-73,2.77700782577897e-72,156.513263718573
CLIC1,1.30457149728437,9.39229147038889,22.0589832819981,5.84420723010676e-73,7.81122639510378e-72,155.465399181629
MT2A,-2.44832040555937,12.2476819125833,-21.9748904754889,1.4065369447067e-72,1.83705490686978e-71,154.588822316486
CETP,-1.08848025649011,7.69800425169907,-21.9691192949748,1.49393227183591e-72,1.94380960369559e-71,154.52865725087
CNOT11,1.21518814612708,9.61546148084491,21.9642982451336,1.57108938249408e-72,2.03648755806308e-71,154.478396735074
CLTRN,-1.38355752249062,7.49151980606944,-21.9386215601096,2.05439439444615e-72,2.65294915222652e-71,154.210701775943
LSM4,1.25970484960833,9.18435305481018,21.9276509553687,2.30385153582766e-72,2.96394382980075e-71,154.096321610448
CDC25B,1.31817109755209,7.62762980082407,21.8131521547398,7.62046630887101e-72,9.62364035697497e-71,152.902379905556
SEPTIN9,1.08892918995834,10.8253945727755,21.7763177980145,1.11980484372546e-71,1.39873805025344e-70,152.518224857369
ADH1B,-2.61754315737813,9.97399834931944,-21.7718212383396,1.17367925564671e-71,1.46072037795161e-70,152.471327070855
ASS1,-1.76167665170001,11.7920729688472,-21.7465194231623,1.52891110004808e-71,1.8891401541961e-70,152.207428686392
MID1IP1,1.18374288325937,7.58390537511806,21.718576938983,2.04741913022579e-71,2.51174454011628e-70,151.915972709169
VPS37C,1.03829574963437,8.82421211474306,21.6866378275982,2.85877378145961e-71,3.4822297657141e-70,151.58281045997
UCK2,1.05884526755834,6.81315118640741,21.6230656491414,5.55601367598302e-71,6.64979337177759e-70,150.919620128026
TRRAP,1.07786278247083,8.29283631434491,21.616402992239,5.95676083594672e-71,7.10467828870729e-70,150.850110411341
ACACA,1.01880173302292,7.70149149555093,21.5739358644768,9.28558236263819e-71,1.0960816294042e-69,150.407043823894
SAC3D1,1.24984671000209,8.62510476921991,21.5590722657847,1.08465751759366e-70,1.27595841538843e-69,150.25196211213
SLCO1B3,-2.28625429093958,7.7786319195787,-21.5460155485945,1.24329429266001e-70,1.45262445417929e-69,150.115729745382
CKAP2L,1.14104580397917,6.49230945656481,21.5397354881308,1.32766256192311e-70,1.54071652033982e-69,150.050203280279
S100A10,1.51755752176353,10.6526249680336,21.520865666651,1.61720607206704e-70,1.87040500254218e-69,149.853310786693
CTSA,1.25651575789478,9.02585703117593,21.4920329395111,2.18617135713961e-70,2.48658894429621e-69,149.552451977778
