experiment,classifier,n_control,class_imbalance,alpha1,alpha2,method,auc_mean,mean_accuracy,auc_sd,hyp,expGanMulti
sim,svm,80,0.4,1,0,ExpandGAN,0.5,0.3516305916305916,0.0,"SVC(C=1, gamma=0.1)",0.5
sim,svm,80,0.4,1,0,ExpandGAN,0.49994226126667884,0.35468975468975467,0.00022847446054797234,"SVC(C=5, gamma=0.1)",0.75
sim,svm,80,0.4,1,0,ExpandGAN,0.5000501128628825,0.363982683982684,0.0005955594536127418,"SVC(C=5, gamma=0.1)",1.0
sim,histgradboost,80,0.4,1,1,ExpandGAN,0.809553145780497,0.801962481962482,0.045345369333282294,HistGradientBoostingClassifier(min_samples_leaf=25),0.25
sim,histgradboost,80,0.4,1,1,GAN,0.7462333647083431,0.7191774891774891,0.03421768801993654,HistGradientBoostingClassifier(min_samples_leaf=10),
sim,histgradboost,80,0.4,1,1,SMOTE,0.779220519837431,0.8049206349206349,0.016842253626698035,"HistGradientBoostingClassifier(learning_rate=1, min_samples_leaf=50)",
sim,histgradboost,80,0.4,1,1,RO,0.7244449818867421,0.7441125541125542,0.011206505323136507,HistGradientBoostingClassifier(min_samples_leaf=25),
sim,histgradboost,80,0.4,1,1,ExpandGAN,0.7779780476609639,0.7703030303030304,0.05371949548183413,HistGradientBoostingClassifier(min_samples_leaf=10),0.5
sim,histgradboost,80,0.4,1,1,ExpandGAN,0.7750210256142094,0.7705627705627707,0.04710715408732495,HistGradientBoostingClassifier(min_samples_leaf=10),0.75
sim,histgradboost,80,0.4,1,1,ExpandGAN,0.8064412459365005,0.8114862914862915,0.03732234919827378,HistGradientBoostingClassifier(min_samples_leaf=75),1.0
sim,svm,80,0.4,1,1,ExpandGAN,0.5,0.35468975468975467,0.0,"SVC(C=5, gamma=0.1)",0.25
sim,svm,80,0.4,1,1,GAN,0.5,0.3516305916305916,0.0,"SVC(C=5, gamma=0.1)",
sim,svm,80,0.4,1,1,SMOTE,0.8701287029048029,0.8928571428571429,0.0,"SVC(C=1, gamma=0.1, kernel='linear')",
sim,svm,80,0.4,1,1,RO,0.8701287029048029,0.8928571428571429,0.0,"SVC(C=1, gamma=0.1, kernel='linear')",
sim,svm,80,0.4,1,1,ExpandGAN,0.500023603884691,0.3516738816738817,0.000234855687344873,"SVC(C=5, gamma=0.1)",0.5
sim,svm,80,0.4,1,1,ExpandGAN,0.49994226126667884,0.35468975468975467,0.00022847446054797234,"SVC(C=5, gamma=0.1)",0.75
sim,svm,80,0.4,1,1,ExpandGAN,0.5000958680855143,0.3640548340548341,0.0012601014982523183,"SVC(C=5, gamma=0.1)",1.0
sim,histgradboost,120,0.4,0,0,ExpandGAN,0.7998294346978557,0.775916305916306,0.04260352058288031,HistGradientBoostingClassifier(min_samples_leaf=25),0.25
sim,histgradboost,120,0.4,0,0,GAN,0.7575781179642267,0.7093217893217892,0.022521826686923575,HistGradientBoostingClassifier(min_samples_leaf=10),
sim,histgradboost,120,0.4,0,0,SMOTE,0.716533867580028,0.7258441558441557,0.018624593930946877,"HistGradientBoostingClassifier(learning_rate=1, min_samples_leaf=10)",
sim,histgradboost,120,0.4,0,0,RO,0.7875385288025495,0.8022799422799424,0.01608942592816868,"HistGradientBoostingClassifier(learning_rate=1, min_samples_leaf=75)",
sim,histgradboost,120,0.4,0,0,ExpandGAN,0.770465294300497,0.7458585858585859,0.04363737456000672,HistGradientBoostingClassifier(min_samples_leaf=10),0.5
sim,histgradboost,120,0.4,0,0,ExpandGAN,0.8271042681633708,0.8218326118326119,0.03619304849462895,HistGradientBoostingClassifier(min_samples_leaf=75),0.75
sim,histgradboost,120,0.4,0,0,ExpandGAN,0.775943574368941,0.7639538239538239,0.03341673905060678,"HistGradientBoostingClassifier(learning_rate=1, min_samples_leaf=10)",1.0
